
『4✬K』,#genre#
重庆汽摩,http://120.46.177.235:90/cqyx.php?id=cqcarSD
重庆移动,http://120.46.177.235:90/cqyx.php?id=mryyHD
『咪✬咕』,#genre#
睛彩竞技,https://115.190.105.236/itv/3000000020000011528.m3u8?cdn=FifastbLive
睛彩篮球,https://115.190.105.236/itv/3000000020000011529.m3u8?cdn=FifastbLive
睛彩青少,https://115.190.105.236/itv/3000000020000011525.m3u8?cdn=FifastbLive
睛彩广场舞,https://115.190.105.236/itv/3000000020000011523.m3u8?cdn=FifastbLive
咪视通-01,https://115.190.105.236/itv/3000000001000005308.m3u8?cdn=FifastbLive
咪视通-02,https://115.190.105.236/itv/3000000001000005969.m3u8?cdn=FifastbLive
咪视通-03,https://115.190.105.236/itv/3000000001000007218.m3u8?cdn=FifastbLive
咪视通-04,https://115.190.105.236/itv/3000000001000008001.m3u8?cdn=FifastbLive
咪视通-05,https://115.190.105.236/itv/3000000001000008176.m3u8?cdn=FifastbLive
咪视通-06,https://115.190.105.236/itv/3000000001000008379.m3u8?cdn=FifastbLive
咪视通-07,https://115.190.105.236/itv/3000000001000010129.m3u8?cdn=FifastbLive
咪视通-08,https://115.190.105.236/itv/3000000001000010948.m3u8?cdn=FifastbLive
咪视通-09,https://115.190.105.236/itv/3000000001000028638.m3u8?cdn=FifastbLive
咪视通-10,https://115.190.105.236/itv/3000000001000031494.m3u8?cdn=FifastbLive
咪视通-11,https://115.190.105.236/itv/3000000010000005837.m3u8?cdn=FifastbLive
咪视通-12,https://115.190.105.236/itv/3000000020000011518.m3u8?cdn=FifastbLive
咪视通-13,https://115.190.105.236/itv/3000000020000011519.m3u8?cdn=FifastbLive
咪视通-14,https://115.190.105.236/itv/3000000020000011520.m3u8?cdn=FifastbLive
咪视通-15,https://115.190.105.236/itv/3000000020000011521.m3u8?cdn=FifastbLive
咪视通-16,https://115.190.105.236/itv/3000000020000011522.m3u8?cdn=FifastbLive
咪视通-18,https://115.190.105.236/itv/3000000020000011524.m3u8?cdn=FifastbLive
咪视通-22,https://115.190.105.236/itv/3000000020000011530.m3u8?cdn=FifastbLive
咪视通-23,https://115.190.105.236/itv/3000000020000011531.m3u8?cdn=FifastbLive
咪视通-24,https://115.190.105.236/itv/3000000010000000097.m3u8?cdn=FifastbLive
咪视通-25,https://115.190.105.236/itv/3000000010000002019.m3u8?cdn=FifastbLive
咪视通-26,https://115.190.105.236/itv/3000000010000002809.m3u8?cdn=FifastbLive
咪视通-27,https://115.190.105.236/itv/3000000010000003915.m3u8?cdn=FifastbLive
咪视通-28,https://115.190.105.236/itv/3000000010000004193.m3u8?cdn=FifastbLive
咪视通-29,https://115.190.105.236/itv/3000000010000006077.m3u8?cdn=FifastbLive
咪视通-30,https://115.190.105.236/itv/3000000010000006658.m3u8?cdn=FifastbLive
咪视通-31,https://115.190.105.236/itv/3000000010000009788.m3u8?cdn=FifastbLive
咪视通-32,https://115.190.105.236/itv/3000000010000010833.m3u8?cdn=FifastbLive
咪视通-33,https://115.190.105.236/itv/3000000010000011297.m3u8?cdn=FifastbLive
咪视通-34,https://115.190.105.236/itv/3000000010000011518.m3u8?cdn=FifastbLive
咪视通-35,https://115.190.105.236/itv/3000000010000012558.m3u8?cdn=FifastbLive
咪视通-36,https://115.190.105.236/itv/3000000010000012616.m3u8?cdn=FifastbLive
咪视通-37,https://115.190.105.236/itv/3000000010000015470.m3u8?cdn=FifastbLive
咪视通-38,https://115.190.105.236/itv/3000000010000015560.m3u8?cdn=FifastbLive
咪视通-39,https://115.190.105.236/itv/3000000010000017678.m3u8?cdn=FifastbLive
咪视通-40,https://115.190.105.236/itv/3000000010000019839.m3u8?cdn=FifastbLive
咪视通-41,https://115.190.105.236/itv/3000000010000021904.m3u8?cdn=FifastbLive
咪视通-42,https://115.190.105.236/itv/3000000010000023434.m3u8?cdn=FifastbLive
咪视通-43,https://115.190.105.236/itv/3000000010000025380.m3u8?cdn=FifastbLive
咪视通-44,https://115.190.105.236/itv/3000000010000027691.m3u8?cdn=FifastbLive
咪视通-45,https://115.190.105.236/itv/3000000010000031669.m3u8?cdn=FifastbLive
咪咕4K-1,http://115.190.105.236:8123/TVOD/咪咕4K-1.m3u8?token=migu
咪咕4K-2,http://115.190.105.236:8123/TVOD/咪咕4K-2.m3u8?token=migu
睛彩广场舞,http://115.190.105.236:8123/TVOD/睛彩广场舞.m3u8?token=migu
睛彩竞技,http://115.190.105.236:8123/TVOD/睛彩竞技.m3u8?token=migu
睛彩篮球,http://115.190.105.236:8123/TVOD/睛彩篮球.m3u8?token=migu
睛彩青少,http://115.190.105.236:8123/TVOD/睛彩青少.m3u8?token=migu
咪咕视频-1,http://115.190.105.236:8123/TVOD/3000000001000005308.m3u8?token=migu
咪咕视频-2,http://115.190.105.236:8123/TVOD/3000000001000005969.m3u8?token=migu
咪咕视频-3,http://115.190.105.236:8123/TVOD/3000000001000007218.m3u8?token=migu
咪咕视频-4,http://115.190.105.236:8123/TVOD/3000000001000008001.m3u8?token=migu
咪咕视频-5,http://115.190.105.236:8123/TVOD/3000000001000008176.m3u8?token=migu
咪咕视频-6,http://115.190.105.236:8123/TVOD/3000000001000008379.m3u8?token=migu
咪咕视频-7,http://115.190.105.236:8123/TVOD/3000000001000010129.m3u8?token=migu
咪咕视频-8,http://115.190.105.236:8123/TVOD/3000000001000010948.m3u8?token=migu
咪咕视频-9,http://115.190.105.236:8123/TVOD/3000000001000028638.m3u8?token=migu
咪咕视频-10,http://115.190.105.236:8123/TVOD/3000000001000031494.m3u8?token=migu
咪咕视频-11,http://115.190.105.236:8123/TVOD/3000000010000005837.m3u8?token=migu
咪咕视频-12,http://115.190.105.236:8123/TVOD/3000000020000011518.m3u8?token=migu
咪咕视频-13,http://115.190.105.236:8123/TVOD/3000000020000011519.m3u8?token=migu
咪咕视频-14,http://115.190.105.236:8123/TVOD/3000000020000011520.m3u8?token=migu
咪咕视频-15,http://115.190.105.236:8123/TVOD/3000000020000011521.m3u8?token=migu
咪咕视频-16,http://115.190.105.236:8123/TVOD/3000000020000011522.m3u8?token=migu
咪咕视频-24,http://115.190.105.236:8123/TVOD/3000000010000000097.m3u8?token=migu
咪咕视频-25,http://115.190.105.236:8123/TVOD/3000000010000002019.m3u8?token=migu
咪咕视频-26,http://115.190.105.236:8123/TVOD/3000000010000002809.m3u8?token=migu
咪咕视频-27,http://115.190.105.236:8123/TVOD/3000000010000003915.m3u8?token=migu
咪咕视频-28,http://115.190.105.236:8123/TVOD/3000000010000004193.m3u8?token=migu
咪咕视频-29,http://115.190.105.236:8123/TVOD/3000000010000006077.m3u8?token=migu
咪咕视频-30,http://115.190.105.236:8123/TVOD/3000000010000006658.m3u8?token=migu
咪咕视频-31,http://115.190.105.236:8123/TVOD/3000000010000009788.m3u8?token=migu
咪咕视频-32,http://115.190.105.236:8123/TVOD/3000000010000010833.m3u8?token=migu
咪咕视频-33,http://115.190.105.236:8123/TVOD/3000000010000011297.m3u8?token=migu
咪咕视频-34,http://115.190.105.236:8123/TVOD/3000000010000011518.m3u8?token=migu
咪咕视频-35,http://115.190.105.236:8123/TVOD/3000000010000012558.m3u8?token=migu
咪咕视频-36,http://115.190.105.236:8123/TVOD/3000000010000012616.m3u8?token=migu
咪咕视频-37,http://115.190.105.236:8123/TVOD/3000000010000015470.m3u8?token=migu
咪咕视频-38,http://115.190.105.236:8123/TVOD/3000000010000015560.m3u8?token=migu
咪咕视频-39,http://115.190.105.236:8123/TVOD/3000000010000017678.m3u8?token=migu
咪咕视频-40,http://115.190.105.236:8123/TVOD/3000000010000019839.m3u8?token=migu
咪咕视频-41,http://115.190.105.236:8123/TVOD/3000000010000021904.m3u8?token=migu
咪咕视频-42,http://115.190.105.236:8123/TVOD/3000000010000023434.m3u8?token=migu
咪咕视频-43,http://115.190.105.236:8123/TVOD/3000000010000025380.m3u8?token=migu
咪咕视频-44,http://115.190.105.236:8123/TVOD/3000000010000027691.m3u8?token=migu
咪咕视频-45,http://115.190.105.236:8123/TVOD/3000000010000031669.m3u8?token=migu
『大✬同』,#genre#
大同新闻综合,http://120.46.177.235:90/dttv.php?id=dtzh
大同公共,http://120.46.177.235:90/dttv.php?id=dtgg
大同生活,http://120.46.177.235:90/dttv.php?id=dtsh
『凤✬凰』,#genre#
凤凰资讯,http://115.190.105.236:8123/phoenix/fhzx.flv?token=migu
凤凰中文,http://115.190.105.236:8123/phoenix/fhzw.flv?token=migu
凤凰香港,http://115.190.105.236:8123/phoenix/fhhk.flv?token=migu
『H✬K』,#genre#
凤凰中文,http://api.mytv666.top/api/qwt.php?t=香港频道&id=凤凰中文台
凤凰资讯,http://api.mytv666.top/api/qwt.php?t=香港频道&id=凤凰资讯台
凤凰香港,http://api.mytv666.top/api/qwt.php?t=香港频道&id=凤凰香港台
TVBPlus,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVBPlus
HOY78,http://api.mytv666.top/api/qwt.php?t=香港频道&id=HOY78
无线新闻台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB无线新闻台
Now新闻台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now新闻台
翡翠台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=翡翠台
明珠台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB明珠台
娱乐新闻台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB娱乐新闻
TVB生活台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB生活台
星河国,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB星河频道(国)
星河粤,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB星河频道(粤)
功夫台国,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB功夫台(国)
功夫台粤,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB功夫台(粤)
明珠剧集台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVBPearlDrama明珠劇集台
TVB1,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB1
千禧经典台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB千禧经典
无线经典台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=MyTV千禧经典台
TVBS,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVBSuperFree
无线亚洲综合台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=亚洲综合娱乐台
无线亚洲剧台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=亚洲剧台
无线华语剧台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=华语剧台
无线戏曲台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=戏曲台
无线粤语片台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=粤语片台
无线少儿,http://api.mytv666.top/api/qwt.php?t=香港频道&id=HandsUP
HOY77,http://api.mytv666.top/api/qwt.php?t=香港频道&id=HOY77
HOY76,http://api.mytv666.top/api/qwt.php?t=香港频道&id=HOY76
有线赛马,http://api.mytv666.top/api/qwt.php?t=香港频道&id=HKC18台
28aI赛马,http://api.mytv666.top/api/qwt.php?t=香港频道&id=28AI智慧赛马
黄金翡翠台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=黄金翡翠台
黄金华剧台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=黃金華劇台
POPC,http://api.mytv666.top/api/qwt.php?t=香港频道&id=POPC
Now爆谷台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now爆谷台
Now星影台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now星影台
Now华剧台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now華劇台
Now剧集台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now劇集台
Now紫金台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=NowJelli紫金国际
Now直播台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now直播台
Now财经台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now财经台
VIUTV-粤,http://api.mytv666.top/api/qwt.php?t=香港频道&id=ViuTV
VIUTV-英,http://api.mytv666.top/api/qwt.php?t=香港频道&id=ViuTV6
RTHK-31,http://api.mytv666.top/api/qwt.php?t=香港频道&id=RTHK31
RTHK-32,http://api.mytv666.top/api/qwt.php?t=香港频道&id=RTHK32
HUB娱家,http://api.mytv666.top/api/qwt.php?t=国外频道&id=娱家台
HUB都会,http://api.mytv666.top/api/qwt.php?t=国外频道&id=都会台
Ftv1时代,http://api.mytv666.top/api/qwt.php?t=国外频道&id=新时代1
Ftv2时代,http://api.mytv666.top/api/qwt.php?t=国外频道&id=新时代2
城市电视,http://api.mytv666.top/api/qwt.php?t=国外频道&id=城市电视
天映经典,http://api.mytv666.top/api/qwt.php?t=香港频道&id=天映经典
天映经典国,http://api.mytv666.top/api/qwt.php?t=香港频道&id=天映频道(粤)
天映经典粤,http://api.mytv666.top/api/qwt.php?t=香港频道&id=天映频道(国)
美亚电影国,http://api.mytv666.top/api/qwt.php?t=香港频道&id=美亚电影(国)
美亚电影粤,http://api.mytv666.top/api/qwt.php?t=香港频道&id=美亚电影(粤)
中国电影,http://api.mytv666.top/api/qwt.php?t=香港频道&id=中国电影频道
