Sydney,#genre#
 ABC Business in 90 Seconds,https://c.mjh.nz/business_in_90_seconds
 ABC Sport in 90 Seconds,https://c.mjh.nz/sport_in_90_seconds
 ABC Weather in 90 Seconds,https://c.mjh.nz/weather_in_90_seconds
 SBS,https://i.mjh.nz/.r/sbs.m3u8
 SBS VICELAND,https://i.mjh.nz/.r/sbs-viceland.m3u8
 SBS Food,https://i.mjh.nz/.r/sbs-food.m3u8
 SBS World Movies,https://i.mjh.nz/.r/sbs-world-movies.m3u8
 NITV,https://i.mjh.nz/.r/sbs-nitv.m3u8
 SBS World Watch,https://i.mjh.nz/.r/sbs-world-watch.m3u8
 SBS Chill,https://i.mjh.nz/.r/sbs-chill.m3u8
 Sky Racing #1,https://i.mjh.nz/.r/sky-racing-1.m3u8
 Sky Racing #2,https://i.mjh.nz/.r/sky-racing-2.m3u8
 Sky Racing - Thoroughbred Central,https://i.mjh.nz/.r/sky-racing-thoroughbred.m3u8
 Bloomberg TV,https://i.mjh.nz/.r/bloomberg-tv.m3u8
 Sky News Now,https://i.mjh.nz/.r/sky-news-now.m3u8
 GOOD.,https://i.mjh.nz/.r/good-dot.m3u8
 gecko,https://i.mjh.nz/.r/gecko.m3u8
 Inspire Digital,https://i.mjh.nz/.r/radio-ih-6315
 PopRock Country,https://i.mjh.nz/.r/radio-ih-9934
 PopRock Radio,https://i.mjh.nz/.r/radio-ih-9933
 LiQUORiCE.fm,https://i.mjh.nz/.r/radio-ih-9952
 Radio Melody Australia,https://i.mjh.nz/.r/radio-ih-9984
 Vision Kids,https://i.mjh.nz/.r/radio-ih-9939.aac
 V180,https://i.mjh.nz/.r/radio-ih-9690.aac
 Whisperscape One,https://i.mjh.nz/.r/radio-ih-9243
 Whisperscape Two,https://i.mjh.nz/.r/radio-ih-9750
 TNT Radio,https://i.mjh.nz/.r/radio-ih-9748
 2ME Gold,https://i.mjh.nz/.r/radio-ih-10144
 ABC Sport 1,https://i.mjh.nz/.r/radio-ih-10274
 Whisperscape Three,https://i.mjh.nz/.r/radio-ih-10474
World,#genre#
 Redbull TV,https://i.mjh.nz/.r/redbull-tv.m3u8
 Al Jazeera,https://i.mjh.nz/.r/al-jazeera.m3u8
 Channel News Asia (CNA),https://i.mjh.nz/.r/channel-news-asia.m3u8
